Project;ProcessName;FieldName;FieldRefName;FieldType;IsIdentity;IsCustom
TAKKT O365 Tenant Solution;Agile;Found In;Microsoft.VSTS.Build.FoundIn;string;No;No
TAKKT O365 Tenant Solution;Agile;Integration Build;Microsoft.VSTS.Build.IntegrationBuild;string;No;No
TAKKT O365 Tenant Solution;Agile;Accepted By;Microsoft.VSTS.CodeReview.AcceptedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Accepted Date;Microsoft.VSTS.CodeReview.AcceptedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Closed Status;Microsoft.VSTS.CodeReview.ClosedStatus;string;No;No
TAKKT O365 Tenant Solution;Agile;Closed Status Code;Microsoft.VSTS.CodeReview.ClosedStatusCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Closing Comment;Microsoft.VSTS.CodeReview.ClosingComment;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context;Microsoft.VSTS.CodeReview.Context;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Code;Microsoft.VSTS.CodeReview.ContextCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Owner;Microsoft.VSTS.CodeReview.ContextOwner;string;No;No
TAKKT O365 Tenant Solution;Agile;Associated Context Type;Microsoft.VSTS.CodeReview.ContextType;string;No;No
TAKKT O365 Tenant Solution;Agile;Acceptance Criteria;Microsoft.VSTS.Common.AcceptanceCriteria;html;No;No
TAKKT O365 Tenant Solution;Agile;Activated By;Microsoft.VSTS.Common.ActivatedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Activated Date;Microsoft.VSTS.Common.ActivatedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Activity;Microsoft.VSTS.Common.Activity;string;No;No
TAKKT O365 Tenant Solution;Agile;Business Value;Microsoft.VSTS.Common.BusinessValue;integer;No;No
TAKKT O365 Tenant Solution;Agile;Closed By;Microsoft.VSTS.Common.ClosedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Closed Date;Microsoft.VSTS.Common.ClosedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Issue;Microsoft.VSTS.Common.Issue;string;No;No
TAKKT O365 Tenant Solution;Agile;Priority;Microsoft.VSTS.Common.Priority;integer;No;No
TAKKT O365 Tenant Solution;Agile;Rating;Microsoft.VSTS.Common.Rating;string;No;No
TAKKT O365 Tenant Solution;Agile;Resolved By;Microsoft.VSTS.Common.ResolvedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Resolved Date;Microsoft.VSTS.Common.ResolvedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Resolved Reason;Microsoft.VSTS.Common.ResolvedReason;string;No;No
TAKKT O365 Tenant Solution;Agile;Reviewed By;Microsoft.VSTS.Common.ReviewedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Risk;Microsoft.VSTS.Common.Risk;string;No;No
TAKKT O365 Tenant Solution;Agile;Severity;Microsoft.VSTS.Common.Severity;string;No;No
TAKKT O365 Tenant Solution;Agile;Stack Rank;Microsoft.VSTS.Common.StackRank;double;No;No
TAKKT O365 Tenant Solution;Agile;State Change Date;Microsoft.VSTS.Common.StateChangeDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;State Code;Microsoft.VSTS.Common.StateCode;integer;No;No
TAKKT O365 Tenant Solution;Agile;Time Criticality;Microsoft.VSTS.Common.TimeCriticality;double;No;No
TAKKT O365 Tenant Solution;Agile;Value Area;Microsoft.VSTS.Common.ValueArea;string;No;No
TAKKT O365 Tenant Solution;Agile;Application Launch Instructions;Microsoft.VSTS.Feedback.ApplicationLaunchInstructions;html;No;No
TAKKT O365 Tenant Solution;Agile;Application Start Information;Microsoft.VSTS.Feedback.ApplicationStartInformation;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Application Type;Microsoft.VSTS.Feedback.ApplicationType;string;No;No
TAKKT O365 Tenant Solution;Agile;Completed Work;Microsoft.VSTS.Scheduling.CompletedWork;double;No;No
TAKKT O365 Tenant Solution;Agile;Due Date;Microsoft.VSTS.Scheduling.DueDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Effort;Microsoft.VSTS.Scheduling.Effort;double;No;No
TAKKT O365 Tenant Solution;Agile;Finish Date;Microsoft.VSTS.Scheduling.FinishDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Original Estimate;Microsoft.VSTS.Scheduling.OriginalEstimate;double;No;No
TAKKT O365 Tenant Solution;Agile;Remaining Work;Microsoft.VSTS.Scheduling.RemainingWork;double;No;No
TAKKT O365 Tenant Solution;Agile;Start Date;Microsoft.VSTS.Scheduling.StartDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Story Points;Microsoft.VSTS.Scheduling.StoryPoints;double;No;No
TAKKT O365 Tenant Solution;Agile;Target Date;Microsoft.VSTS.Scheduling.TargetDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Id;Microsoft.VSTS.TCM.AutomatedTestId;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Name;Microsoft.VSTS.TCM.AutomatedTestName;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Storage;Microsoft.VSTS.TCM.AutomatedTestStorage;string;No;No
TAKKT O365 Tenant Solution;Agile;Automated Test Type;Microsoft.VSTS.TCM.AutomatedTestType;string;No;No
TAKKT O365 Tenant Solution;Agile;Automation status;Microsoft.VSTS.TCM.AutomationStatus;string;No;No
TAKKT O365 Tenant Solution;Agile;Local Data Source;Microsoft.VSTS.TCM.LocalDataSource;html;No;No
TAKKT O365 Tenant Solution;Agile;Parameters;Microsoft.VSTS.TCM.Parameters;html;No;No
TAKKT O365 Tenant Solution;Agile;Query Text;Microsoft.VSTS.TCM.QueryText;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Repro Steps;Microsoft.VSTS.TCM.ReproSteps;html;No;No
TAKKT O365 Tenant Solution;Agile;Steps;Microsoft.VSTS.TCM.Steps;html;No;No
TAKKT O365 Tenant Solution;Agile;System Info;Microsoft.VSTS.TCM.SystemInfo;html;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Audit;Microsoft.VSTS.TCM.TestSuiteAudit;plainText;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Type;Microsoft.VSTS.TCM.TestSuiteType;string;No;No
TAKKT O365 Tenant Solution;Agile;Test Suite Type Id;Microsoft.VSTS.TCM.TestSuiteTypeId;integer;No;No
TAKKT O365 Tenant Solution;Agile;Area ID;System.AreaId;integer;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 1;System.AreaLevel1;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 2;System.AreaLevel2;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 3;System.AreaLevel3;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 4;System.AreaLevel4;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 5;System.AreaLevel5;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 6;System.AreaLevel6;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Level 7;System.AreaLevel7;string;No;No
TAKKT O365 Tenant Solution;Agile;Area Path;System.AreaPath;treePath;No;No
TAKKT O365 Tenant Solution;Agile;Assigned To;System.AssignedTo;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Attached File Count;System.AttachedFileCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Authorized As;System.AuthorizedAs;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Authorized Date;System.AuthorizedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Board Column;System.BoardColumn;string;No;No
TAKKT O365 Tenant Solution;Agile;Board Column Done;System.BoardColumnDone;boolean;No;No
TAKKT O365 Tenant Solution;Agile;Board Lane;System.BoardLane;string;No;No
TAKKT O365 Tenant Solution;Agile;Changed By;System.ChangedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Changed Date;System.ChangedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Comment Count;System.CommentCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;Created By;System.CreatedBy;string;Yes;No
TAKKT O365 Tenant Solution;Agile;Created Date;System.CreatedDate;dateTime;No;No
TAKKT O365 Tenant Solution;Agile;Description;System.Description;html;No;No
TAKKT O365 Tenant Solution;Agile;External Link Count;System.ExternalLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;History;System.History;history;No;No
TAKKT O365 Tenant Solution;Agile;Hyperlink Count;System.HyperLinkCount;integer;No;No
TAKKT O365 Tenant Solution;Agile;ID;System.Id;integer;No;No
TAKKT O365 Tenant Solution;Agile;Iteration ID;System.IterationId;integer;No;No
